,prix_actuel,prix_min,prix_max,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
AURE,5.72,5.72,5.82,5.78,-1.7182130584192532,0.7323276771620314,-0.05000000000000074,3.0
AVT,0.0354,0.0354,0.0362,0.03573333333333333,-2.209944751381221,0.7747491891453614,-0.0004000000000000046,3.0
AVTX,13.954,13.042,13.954,13.498000000000001,6.992792516485208,,0.0,2.0
AXS,0.728,0.708,0.728,0.718,2.8248587570621497,,0.0,2.0
AYV,9.185,9.185,9.705,9.43,-2.28723404255319,6.083058410801129,-0.10750000000000087,3.0
AZE,12.34,12.34,12.97,12.655000000000001,-4.8573631457209,,0.0,2.0
AZRN,1.35,1.35,1.35,1.35,0.0,,0.0,2.0
AZRNW,0.001,0.001,0.001,0.001,0.0,0.0,0.0,1.0
BAIN,104.5,104.5,106.0,105.5,-1.4150943396226416,1.0006228035658729,-0.7500000000000083,3.0
BALYO,0.38,0.38,0.391,0.387,-2.5641025641025665,2.170612396048418,-0.004999999999999991,3.0
BAMNB,7.36,7.36,7.645,7.5024999999999995,-3.727926749509474,,0.0,2.0
BANI,3.2,3.2,3.44,3.3200000000000003,-6.9767441860465045,,0.0,2.0
BANQ,3.9,3.9,3.93,3.915,-0.7633587786259605,,0.0,2.0
BAR,13.72,13.72,14.26,13.99,-3.786816269284707,,0.0,2.0
BASS,52.6,52.6,57.0,55.46666666666667,-7.394366197183092,5.707349396456292,-2.0999999999999983,3.0
BB,52.0,52.0,53.5,53.0,-2.803738317757009,1.9825423771585446,-0.7500000000000022,3.0
BCART,0.29,0.29,0.29,0.29,0.0,,0.0,2.0
BEKB,38.0,38.0,38.65,38.325,-1.6817593790426872,,0.0,2.0
BELYS,1.08,1.02,1.08,1.05,5.8823529411764754,,0.0,2.0
BEN,8.085,8.085,8.46,8.315,-3.749999999999994,3.6394148413654124,-0.15749999999999975,3.0
BESI,105.8,105.8,119.75,112.775,-11.649269311064721,,0.0,2.0
BEVER,2.8,2.8,2.8,2.8,0.0,,0.0,2.0
BFIT,24.46,24.46,25.68,25.07,-4.7507788161993725,,0.0,2.0
BIG,1.38,1.38,1.458,1.4266666666666665,-5.349794238683132,2.2642904200937997,-0.03900000000000006,3.0
BIM,117.9,117.8,118.6,118.09999999999998,-0.5902192242832957,0.5369952035482893,-0.3499999999999988,3.0
BIOS,0.0026,0.0026,0.0027,0.0026666666666666666,-3.703703703703713,2.6189140043946244,-4.999999999999997e-05,3.0
BLC,25.1,25.1,26.65,26.103333333333335,-5.496987951807219,4.352235525012383,-0.7299999999999983,3.0
BLEE,109.0,109.0,109.0,109.0,0.0,,0.0,2.0
BN,74.32,71.04,74.32,72.68,4.617117117117099,,0.0,2.0
BNB,465.0,465.0,472.0,468.5,-1.4830508474576272,,0.0,2.0
BNJ,9.0,8.85,9.0,8.925,1.6949152542372923,,0.0,2.0
BNJW,0.25,0.25,0.25,0.25,0.0,0.0,0.0,1.0
