symbol,prix_actuel,prix_initial,prix_max,prix_min,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
BIM,119.0,114.4,119.0,113.9,117.325,4.020979020979016,1.507285593133904,0.6761904761904871,8
BIOS,0.0028,0.0027,0.0028,0.0026,0.0026750000000000003,3.703703703703697,4.016848654745425,1.1904761904762095e-05,8
BLC,26.4,23.2,26.65,23.2,25.25875,13.79310344827586,3.037425827616775,0.5089285714285723,8
BLEE,109.0,109.0,109.0,109.0,109.0,0.0,0.0,-1.5048460668520732e-14,4
BN,71.72,74.72,75.08,71.04,73.28571428571429,-4.014989293361884,1.9256297411420715,-0.7028571428571405,7
BNB,473.0,413.0,473.0,413.0,452.8333333333333,14.527845036319611,3.043646749411672,11.342857142857119,6
BNJ,8.84,8.84,9.0,8.66,8.865,0.0,2.363707863539004,0.016285714285714264,6
BNJW,0.25,0.25,0.25,0.25,0.25,0.0,0.0,-1.9626155733547187e-17,2
BNP,76.53,77.87,77.87,76.19,76.7175,-1.7208167458584864,0.7921058274100542,-0.12166666666666393,8
BOI,21.15,23.66,23.66,21.0,22.02875,-10.608622147083691,1.8482268741288268,-0.42202380952380847,8
BOL,5.025,4.942,5.025,4.854,4.947125,1.6794819910967256,1.5241429698429114,0.021988095238095622,8
BON,8.09,7.6,8.09,7.57,7.805,6.447368421052635,1.4695583063042537,0.07976190476190496,8
BPOST,2.136,2.294,2.294,2.06,2.128833333333333,-6.887532693984304,5.431990955411765,-0.01465714285714282,6
BREB,112.4,110.4,112.4,110.0,111.10000000000001,1.8115942028985508,1.1403549681147498,0.42857142857142144,6
BRNL,8.68,8.2,8.68,8.2,8.395,5.853658536585372,1.6629491306708253,0.10485714285714308,6
BSD,4.27,4.2,4.3,4.14,4.22375,1.666666666666652,1.325021687596643,0.019642857142857597,8
BSGR,5.91,5.9,5.91,5.89,5.900000000000001,0.1694915254237252,0.14187561400437995,0.0011428571428575922,6
BTLS,4.59,4.48,4.82,4.12,4.446666666666667,2.45535714285713,7.24388642546538,0.0628571428571429,6
BUI,3.82,3.82,3.82,3.82,3.82,0.0,0.0,-1.102635060676998e-17,6
BUR,380.0,0.0295,390.0,0.023,273.8646428571429,1288035.5932203392,678008.1744845029,68.35233928571428,7
BVI,26.06,26.36,26.62,25.72,26.0825,-1.1380880121396082,1.2484891669677787,-0.09833333333333127,8
CA,12.36,12.276,12.41,12.214,12.312625,0.6842619745845522,0.8084549269728083,0.019321428571429367,8
CABKA,1.864,1.746,1.864,1.7,1.7701666666666667,6.7583046964490325,2.62881898568196,0.024199999999999902,6
CABLE,32.04,32.914,32.914,32.04,32.52133333333333,-2.6554049948350316,0.5828758654917676,-0.4370000000000056,3
CAF,97.0,51.6,103.92,51.45,80.55875,87.984496124031,24.90965531825694,8.81797619047619,8
CAMB,255.0,251.0,255.0,240.0,250.0,1.593625498007968,3.8053785714163064,0.05714285714284823,6
CAP,124.05,125.1,127.16,121.7,124.13,-0.8393285371702616,2.126580700615889,-0.5257142857142767,7
CARM,17.24,16.92,17.26,16.74,17.042499999999997,1.8912529550827228,1.0514617812843585,0.059761904761905786,8
CAT31,118.98,111.78,118.98,111.78,114.8225,6.441223832528182,1.9838095689486073,1.1154761904761945,8
CBDG,98.5,96.0,98.5,96.0,97.5,2.604166666666667,0.711289614985466,0.32142857142857373,8
CBE,700.0,719.4,719.4,696.9,701.6375,-2.6966916875173728,1.2206011641154562,-1.3202380952380846,8
CBOT,3.62,3.66,3.66,3.61,3.63125,-1.0928961748633887,0.5904387079331234,-0.0013095238095235673,8
CBR,96.0,96.0,96.0,96.0,96.0,0.0,0.0,4.7905812956903255e-15,3
CBSM,9.0,8.96,9.0,8.95,8.9625,0.44642857142856185,0.1806246156883506,0.0033333333333338054,8
CCEP,75.7,77.5,77.5,74.0,75.86666666666666,-2.3225806451612865,2.5401182725836926,-0.19428571428571195,6
CCN,128.2,126.6,132.0,124.56,127.995,1.2638230647709277,2.483479451173373,0.8909523809523873,8
CDA,22.25,20.8,22.5,20.5,21.44125,6.971153846153842,3.9263128202503075,0.306547619047621,8
CDI,482.0,468.8,497.4,468.8,481.85,2.8156996587030694,2.6242595812419722,2.5047619047619407,8
CEN,62.4,60.4,62.4,60.4,61.724999999999994,3.3112582781456954,0.7747010008275833,0.29761904761905084,8
CENER,10.6,10.7,10.84,10.38,10.603333333333333,-0.9345794392523332,2.1987633137058404,0.016571428571428487,6
CFEB,8.6,9.32,9.32,8.6,8.993333333333334,-7.725321888412023,2.3914023514857004,-0.14628571428571416,6
CFI,1.76,3.34,3.34,1.76,2.35625,-47.30538922155688,12.649160063810154,-0.2539285714285713,8
CGM,10.65,10.75,10.8,10.65,10.715,-0.9302325581395315,1.4277644260409823,-0.01600000000000178,4
CHSR,7.0,15.548,15.572,7.0,11.271666666666667,-54.97813223565732,24.511235928386228,-2.1990285714285718,6
CIV,112.0,106.74,118.84,105.0,111.2525,4.927862094809823,5.811523601785339,1.6392857142857218,8
CLA,1.782,1.636,1.782,1.584,1.673,8.924205378973113,3.559327173272782,0.024523809523809538,8
CLARI,4.406,3.958,4.406,3.906,4.137875,11.318847902981291,3.369463542850972,0.07634523809523841,8
